"Name","Team","W","L","ERA","GS","G","SV","IP","H","ER","HR","SO","BB","WHIP","K/9","BB/9","FIP","WAR","ADP","playerid"
"Jaime Garcia","Cubs","8","10","4.17","26","26","0","151.0","148","70","19","126","51","1.32","7.51","3.04","4.24","2.2","479.8","8137"
"Kevin Gausman","Braves","11","10","4.15","31","31","0","174.0","172","80","26","168","56","1.31","8.69","2.90","4.24","2.7","199.0","14107"
"Jeff Hoffman","Rockies","6","6","4.50","15","23","0","110.0","103","55","15","104","41","1.31","8.51","3.35","4.27","2.1","628.0","17432"
"Marco Estrada","Blue Jays","11","9","3.92","30","30","0","173.0","152","75","24","160","62","1.24","8.32","3.23","4.29","2.9","301.3","1118"
"Homer Bailey","Reds","9","10","4.54","25","25","0","142.0","138","72","18","121","52","1.34","7.67","3.30","4.31","1.8","512.5","8362"
"Kyle Gibson","Twins","12","10","4.20","29","29","0","167.0","175","78","20","124","55","1.38","6.68","2.96","4.33","2.3","426.0","10123"
"Antonio Senzatela","Rockies","8","6","4.35","10","33","0","111.0","110","54","15","92","36","1.32","7.46","2.92","4.34","1.7","660.0","15488"
"Reynaldo Lopez","White Sox","9","11","4.25","26","26","0","153.0","148","72","22","138","53","1.31","8.12","3.12","4.36","2.3","369.2","16400"
"Lance Lynn","Yankees","12","10","3.55","32","32","0","186.0","175","73","23","159","74","1.34","7.69","3.58","4.36","2.8","221.2","2520"
"Nick Pivetta","Phillies","8","9","4.58","24","24","0","127.0","118","65","20","129","46","1.29","9.14","3.26","4.38","1.4","418.1","15454"
"Jake Odorizzi","Twins","11","8","3.81","30","30","0","166.0","154","70","26","147","51","1.23","7.97","2.77","4.43","2.4","258.5","6397"
"CC Sabathia","Yankees","11","8","4.05","27","27","0","148.0","147","67","21","125","51","1.34","7.60","3.10","4.45","1.8","332.7","404"
"Adalberto Mejia","Twins","8","8","4.42","23","25","0","125.0","121","61","16","107","51","1.38","7.70","3.67","4.45","1.5","600.1","13188"
"Robert Stephenson","Reds","5","5","4.25","14","20","0","92.0","85","43","12","90","45","1.41","8.80","4.40","4.49","0.9","472.5","13594"
"Erasmo Ramirez","Mariners","9","8","4.06","22","27","0","142.0","139","64","24","118","35","1.23","7.48","2.22","4.52","1.4","479.4","10314"
"Jharel Cotton","Athletics","9","9","4.45","26","26","0","143.0","145","71","23","119","51","1.37","7.49","3.21","4.76","1.4","412.9","13654"
"Bartolo Colon","Rangers","6","8","5.38","20","20","0","101.0","120","60","20","62","23","1.42","5.52","2.05","5.25","0.4","999.0","375"
"Ariel Miranda","","6","6","4.39","11","23","0","97.0","90","47","19","81","36","1.30","7.52","3.34","5.27","0.3","576.1","17526"
